code	description	type
F136	Mental and behavioural disorders due to use of sedatives or hypnotics: Amnesic syndrome	icd10
F137	Mental and behavioural disorders due to use of sedatives or hypnotics: Residual and late-onset psychotic disorder	icd10
F138	Mental and behavioural disorders due to use of sedatives or hypnotics: Other mental and behavioural disorders	icd10
F139	Mental and behavioural disorders due to use of sedatives or hypnotics: Unspecified mental and behavioural disorder	icd10
F14	Mental and behavioural disorders due to use of cocaine	icd10
F140	Mental and behavioural disorders due to use of cocaine: Acute intoxication	icd10
F141	Mental and behavioural disorders due to use of cocaine: Harmful use	icd10
F142	Mental and behavioural disorders due to use of cocaine: Dependence syndrome	icd10
F143	Mental and behavioural disorders due to use of cocaine: Withdrawal state	icd10
F144	Mental and behavioural disorders due to use of cocaine: Withdrawal state with delirium	icd10
F145	Mental and behavioural disorders due to use of cocaine: Psychotic disorder	icd10
F146	Mental and behavioural disorders due to use of cocaine: Amnesic syndrome	icd10
F147	Mental and behavioural disorders due to use of cocaine: Residual and late-onset psychotic disorder	icd10
F148	Mental and behavioural disorders due to use of cocaine: Other mental and behavioural disorders	icd10
F149	Mental and behavioural disorders due to use of cocaine: Unspecified mental and behavioural disorder	icd10
F15	Mental and behavioural disorders due to use of other stimulants, including caffeine	icd10
F150	Mental and behavioural disorders due to use of other stimulants, including caffeine: Acute intoxication	icd10
F151	Mental and behavioural disorders due to use of other stimulants, including caffeine: Harmful use	icd10
F152	Mental and behavioural disorders due to use of other stimulants, including caffeine: Dependence syndrome	icd10
F153	Mental and behavioural disorders due to use of other stimulants, including caffeine: Withdrawal state	icd10
F154	Mental and behavioural disorders due to use of other stimulants, including caffeine: Withdrawal state with delirium	icd10
F155	Mental and behavioural disorders due to use of other stimulants, including caffeine: Psychotic disorder	icd10
F156	Mental and behavioural disorders due to use of other stimulants, including caffeine: Amnesic syndrome	icd10
F157	Mental and behavioural disorders due to use of other stimulants, including caffeine: Residual and late-onset psychotic disorder	icd10
F158	Mental and behavioural disorders due to use of other stimulants, including caffeine: Other mental and behavioural disorders	icd10
F159	Mental and behavioural disorders due to use of other stimulants, including caffeine: Unspecified mental and behavioural disorder	icd10
F16	Mental and behavioural disorders due to use of hallucinogens	icd10
F160	Mental and behavioural disorders due to use of hallucinogens: Acute intoxication	icd10
F161	Mental and behavioural disorders due to use of hallucinogens: Harmful use	icd10
F162	Mental and behavioural disorders due to use of hallucinogens: Dependence syndrome	icd10
F163	Mental and behavioural disorders due to use of hallucinogens: Withdrawal state	icd10
F164	Mental and behavioural disorders due to use of hallucinogens: Withdrawal state with delirium	icd10
F165	Mental and behavioural disorders due to use of hallucinogens: Psychotic disorder	icd10
F166	Mental and behavioural disorders due to use of hallucinogens: Amnesic syndrome	icd10
F167	Mental and behavioural disorders due to use of hallucinogens: Residual and late-onset psychotic disorder	icd10
F168	Mental and behavioural disorders due to use of hallucinogens: Other mental and behavioural disorders	icd10
F169	Mental and behavioural disorders due to use of hallucinogens: Unspecified mental and behavioural disorder	icd10
F17	Mental and behavioural disorders due to use of tobacco	icd10
F170	Mental and behavioural disorders due to use of tobacco: Acute intoxication	icd10
F171	Mental and behavioural disorders due to use of tobacco: Harmful use	icd10
F172	Mental and behavioural disorders due to use of tobacco: Dependence syndrome	icd10
F173	Mental and behavioural disorders due to use of tobacco: Withdrawal state	icd10
F174	Mental and behavioural disorders due to use of tobacco: Withdrawal state with delirium	icd10
F175	Mental and behavioural disorders due to use of tobacco: Psychotic disorder	icd10
F176	Mental and behavioural disorders due to use of tobacco: Amnesic syndrome	icd10
F177	Mental and behavioural disorders due to use of tobacco: Residual and late-onset psychotic disorder	icd10
F178	Mental and behavioural disorders due to use of tobacco: Other mental and behavioural disorders	icd10
F179	Mental and behavioural disorders due to use of tobacco: Unspecified mental and behavioural disorder	icd10
F18	Mental and behavioural disorders due to use of volatile solvents	icd10
F180	Mental and behavioural disorders due to use of volatile solvents: Acute intoxication	icd10
F181	Mental and behavioural disorders due to use of volatile solvents: Harmful use	icd10
F182	Mental and behavioural disorders due to use of volatile solvents: Dependence syndrome	icd10
F183	Mental and behavioural disorders due to use of volatile solvents: Withdrawal state	icd10
F184	Mental and behavioural disorders due to use of volatile solvents: Withdrawal state with delirium	icd10
F185	Mental and behavioural disorders due to use of volatile solvents: Psychotic disorder	icd10
F186	Mental and behavioural disorders due to use of volatile solvents: Amnesic syndrome	icd10
F187	Mental and behavioural disorders due to use of volatile solvents: Residual and late-onset psychotic disorder	icd10
F188	Mental and behavioural disorders due to use of volatile solvents: Other mental and behavioural disorders	icd10
F189	Mental and behavioural disorders due to use of volatile solvents: Unspecified mental and behavioural disorder	icd10
F19	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances	icd10
F190	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Acute intoxication	icd10
F191	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Harmful use	icd10
F192	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Dependence syndrome	icd10
F193	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state	icd10
F194	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state with delirium	icd10
F195	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Psychotic disorder	icd10
F196	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Amnesic syndrome	icd10
F197	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Residual and late-onset psychotic disorder	icd10
F198	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Other mental and behavioural disorders	icd10
F199	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Unspecified mental and behavioural disorder	icd10
F20	Schizophrenia	icd10
F200	Paranoid schizophrenia	icd10
F201	Hebephrenic schizophrenia	icd10
F202	Catatonic schizophrenia	icd10
F203	Undifferentiated schizophrenia	icd10
F204	Post-schizophrenic depression	icd10
F205	Residual schizophrenia	icd10
F206	Simple schizophrenia	icd10
F208	Other schizophrenia	icd10
F209	Schizophrenia, unspecified	icd10
F21	Schizotypal disorder	icd10
F22	Persistent delusional disorders	icd10
F220	Delusional disorder	icd10
F228	Other persistent delusional disorders	icd10
F229	Persistent delusional disorder, unspecified	icd10
F23	Acute and transient psychotic disorders	icd10
F230	Acute polymorphic psychotic disorder without symptoms of schizophrenia	icd10
F231	Acute polymorphic psychotic disorder with symptoms of schizophrenia	icd10
F232	Acute schizophrenia-like psychotic disorder	icd10
F233	Other acute predominantly delusional psychotic disorders	icd10
F238	Other acute and transient psychotic disorders	icd10
F239	Acute and transient psychotic disorder, unspecified	icd10
F24	Induced delusional disorder	icd10
F25	Schizoaffective disorders	icd10
F250	Schizoaffective disorder, manic type	icd10
F251	Schizoaffective disorder, depressive type	icd10
F252	Schizoaffective disorder, mixed type	icd10
F258	Other schizoaffective disorders	icd10
F259	Schizoaffective disorder, unspecified	icd10
F28	Other nonorganic psychotic disorders	icd10
F29	Unspecified nonorganic psychosis	icd10
F30	Manic episode	icd10
F300	Hypomania	icd10
F301	Mania without psychotic symptoms	icd10
F302	Mania with psychotic symptoms	icd10
F308	Other manic episodes	icd10
F309	Manic episode, unspecified	icd10
F31	Bipolar affective disorder	icd10
F310	Bipolar affective disorder, current episode hypomanic	icd10
F311	Bipolar affective disorder, current episode manic without psychotic symptoms	icd10
F312	Bipolar affective disorder, current episode manic with psychotic symptoms	icd10
F313	Bipolar affective disorder, current episode mild or moderate depression	icd10
F314	Bipolar affective disorder, current episode severe depression without psychotic symptoms	icd10
F315	Bipolar affective disorder, current episode severe depression with psychotic symptoms	icd10
F316	Bipolar affective disorder, current episode mixed	icd10
F317	Bipolar affective disorder, currently in remission	icd10
F318	Other bipolar affective disorders	icd10
F319	Bipolar affective disorder, unspecified	icd10
F32	Depressive episode	icd10
F320	Mild depressive episode	icd10
F321	Moderate depressive episode	icd10
F322	Severe depressive episode without psychotic symptoms	icd10
F323	Severe depressive episode with psychotic symptoms	icd10
F328	Other depressive episodes	icd10
F329	Depressive episode, unspecified	icd10
F33	Recurrent depressive disorder	icd10
F330	Recurrent depressive disorder, current episode mild	icd10
F331	Recurrent depressive disorder, current episode moderate	icd10
F332	Recurrent depressive disorder, current episode severe without psychotic symptoms	icd10
F333	Recurrent depressive disorder, current episode severe with psychotic symptoms	icd10
F334	Recurrent depressive disorder, currently in remission	icd10
F338	Other recurrent depressive disorders	icd10
F339	Recurrent depressive disorder, unspecified	icd10
F34	Persistent mood [affective] disorders	icd10
F340	Cyclothymia	icd10
F341	Dysthymia	icd10
F348	Other persistent mood [affective] disorders	icd10
F349	Persistent mood [affective] disorder, unspecified	icd10
F38	Other mood [affective] disorders	icd10
F380	Other single mood [affective] disorders	icd10
F381	Other recurrent mood [affective] disorders	icd10
F388	Other specified mood [affective] disorders	icd10
F39	Unspecified mood [affective] disorder	icd10
F40	Phobic anxiety disorders	icd10
F400	Agoraphobia	icd10
F401	Social phobias	icd10
F402	Specific (isolated) phobias	icd10
F408	Other phobic anxiety disorders	icd10
F409	Phobic anxiety disorder, unspecified	icd10
F41	Other anxiety disorders	icd10
F410	Panic disorder [episodic paroxysmal anxiety]	icd10
F411	Generalized anxiety disorder	icd10
F412	Mixed anxiety and depressive disorder	icd10
F413	Other mixed anxiety disorders	icd10
F418	Other specified anxiety disorders	icd10
F419	Anxiety disorder, unspecified	icd10
F42	Obsessive-compulsive disorder	icd10
F420	Predominantly obsessional thoughts or ruminations	icd10
F421	Predominantly compulsive acts [obsessional rituals]	icd10
F422	Mixed obsessional thoughts and acts	icd10
F428	Other obsessive-compulsive disorders	icd10
F429	Obsessive-compulsive disorder, unspecified	icd10
F43	Reaction to severe stress, and adjustment disorders	icd10
F430	Acute stress reaction	icd10
F431	Post-traumatic stress disorder	icd10
F432	Adjustment disorders	icd10
F438	Other reactions to severe stress	icd10
F439	Reaction to severe stress, unspecified	icd10
F44	Dissociative [conversion] disorders	icd10
F440	Dissociative amnesia	icd10
F441	Dissociative fugue	icd10
F442	Dissociative stupor	icd10
F443	Trance and possession disorders	icd10
F444	Dissociative motor disorders	icd10
F445	Dissociative convulsions	icd10
F446	Dissociative anaesthesia and sensory loss	icd10
F447	Mixed dissociative [conversion] disorders	icd10
F448	Other dissociative [conversion] disorders	icd10
F449	Dissociative [conversion] disorder, unspecified	icd10
F45	Somatoform disorders	icd10
F450	Somatization disorder	icd10
F451	Undifferentiated somatoform disorder	icd10
F452	Hypochondriacal disorder	icd10
F453	Somatoform autonomic dysfunction	icd10
F454	Persistent somatoform pain disorder	icd10
F458	Other somatoform disorders	icd10
F459	Somatoform disorder, unspecified	icd10
F48	Other neurotic disorders	icd10
F480	Neurasthenia	icd10
F481	Depersonalization-derealization syndrome	icd10
F488	Other specified neurotic disorders	icd10
F489	Neurotic disorder, unspecified	icd10
F50	Eating disorders	icd10
F500	Anorexia nervosa	icd10
F501	Atypical anorexia nervosa	icd10
F502	Bulimia nervosa	icd10
F503	Atypical bulimia nervosa	icd10
F504	Overeating associated with other psychological disturbances	icd10
F505	Vomiting associated with other psychological disturbances	icd10
F508	Other eating disorders	icd10
F509	Eating disorder, unspecified	icd10
F51	Nonorganic sleep disorders	icd10
F510	Nonorganic insomnia	icd10
F511	Nonorganic hypersomnia	icd10
F512	Nonorganic disorder of the sleep-wake schedule	icd10
F513	Sleepwalking [somnambulism]	icd10
F514	Sleep terrors [night terrors]	icd10
F515	Nightmares	icd10
F518	Other nonorganic sleep disorders	icd10
F519	Nonorganic sleep disorder, unspecified	icd10
F52	Sexual dysfunction, not caused by organic disorder or disease	icd10
F520	Lack or loss of sexual desire	icd10
F521	Sexual aversion and lack of sexual enjoyment	icd10
F522	Failure of genital response	icd10
F523	Orgasmic dysfunction	icd10
F524	Premature ejaculation	icd10
F525	Nonorganic vaginismus	icd10
F526	Nonorganic dyspareunia	icd10
F527	Excessive sexual drive	icd10
F528	Other sexual dysfunction, not caused by organic disorder or disease	icd10
F529	Unspecified sexual dysfunction, not caused by organic disorder or disease	icd10
F53	Mental and behavioural disorders associated with the puerperium, not elsewhere classified	icd10
F530	Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified	icd10
F531	Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified	icd10
F538	Other mental and behavioural disorders associated with the puerperium, not elsewhere classified	icd10
F539	Puerperal mental disorder, unspecified	icd10
F54	Psychological and behavioural factors associated with disorders or diseases classified elsewhere	icd10
F55	Abuse of non-dependence-producing substances	icd10
F59	Unspecified behavioural syndromes associated with physiological disturbances and physical factors	icd10
F60	Specific personality disorders	icd10
F600	Paranoid personality disorder	icd10
F601	Schizoid personality disorder	icd10
F602	Dissocial personality disorder	icd10
F603	Emotionally unstable personality disorder	icd10
F604	Histrionic personality disorder	icd10
F605	Anankastic personality disorder	icd10
F606	Anxious [avoidant] personality disorder	icd10
F607	Dependent personality disorder	icd10
F608	Other specific personality disorders	icd10
F609	Personality disorder, unspecified	icd10
F61	Mixed and other personality disorders	icd10
F62	Enduring personality changes, not attributable to brain damage and disease	icd10
F620	Enduring personality change after catastrophic experience	icd10
F621	Enduring personality change after psychiatric illness	icd10
F628	Other enduring personality changes	icd10
F629	Enduring personality change, unspecified	icd10
F63	Habit and impulse disorders	icd10
F630	Pathological gambling	icd10
F631	Pathological fire-setting [pyromania]	icd10
F632	Pathological stealing [kleptomania]	icd10
F633	Trichotillomania	icd10
F638	Other habit and impulse disorders	icd10
F639	Habit and impulse disorder, unspecified	icd10
F64	Gender identity disorders	icd10
F640	Transsexualism	icd10
F641	Dual-role transvestism	icd10
F642	Gender identity disorder of childhood	icd10
F648	Other gender identity disorders	icd10
F649	Gender identity disorder, unspecified	icd10
F65	Disorders of sexual preference	icd10
F650	Fetishism	icd10
F651	Fetishistic transvestism	icd10
F652	Exhibitionism	icd10
F653	Voyeurism	icd10
F654	Paedophilia	icd10
F655	Sadomasochism	icd10
F656	Multiple disorders of sexual preference	icd10
F658	Other disorders of sexual preference	icd10
F659	Disorder of sexual preference, unspecified	icd10
F66	Psychological and behavioural disorders associated with sexual development and orientation	icd10
F660	Sexual maturation disorder	icd10
F661	Egodystonic sexual orientation	icd10
F662	Sexual relationship disorder	icd10
F668	Other psychosexual development disorders	icd10
F669	Psychosexual development disorder, unspecified	icd10
F68	Other disorders of adult personality and behaviour	icd10
F680	Elaboration of physical symptoms for psychological reasons	icd10
F681	Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]	icd10
F688	Other specified disorders of adult personality and behaviour	icd10
F69	Unspecified disorder of adult personality and behaviour	icd10
F70	Mild mental retardation	icd10
F700	Mild mental retardation: With the statement of no, or minimal, impairment of behaviour	icd10
F701	Mild mental retardation: Significant impairment of behaviour requiring attention or treatment	icd10
F708	Mild mental retardation: Other impairments of behaviour	icd10
F709	Mild mental retardation: Without mention of impairment of behaviour	icd10
F71	Moderate mental retardation	icd10
F710	Moderate mental retardation: With the statement of no, or minimal, impairment of behaviour	icd10
F711	Moderate mental retardation: Significant impairment of behaviour requiring attention or treatment	icd10
F718	Moderate mental retardation: Other impairments of behaviour	icd10
F719	Moderate mental retardation: Without mention of impairment of behaviour	icd10
F72	Severe mental retardation	icd10
F720	Severe mental retardation: With the statement of no, or minimal, impairment of behaviour	icd10
F721	Severe mental retardation: Significant impairment of behaviour requiring attention or treatment	icd10
F728	Severe mental retardation: Other impairments of behaviour	icd10
F729	Severe mental retardation: Without mention of impairment of behaviour	icd10
F73	Profound mental retardation	icd10
F730	Profound mental retardation: With the statement of no, or minimal, impairment of behaviour	icd10
F731	Profound mental retardation: Significant impairment of behaviour requiring attention or treatment	icd10
F738	Profound mental retardation: Other impairments of behaviour	icd10
F739	Profound mental retardation: Without mention of impairment of behaviour	icd10
F78	Other mental retardation	icd10
F780	Other mental retardation: With the statement of no, or minimal, impairment of behaviour	icd10
F781	Other mental retardation: Significant impairment of behaviour requiring attention or treatment	icd10
F788	Other mental retardation: Other impairments of behaviour	icd10
F789	Other mental retardation: Without mention of impairment of behaviour	icd10
F79	Unspecified mental retardation	icd10
F790	Unspecified mental retardation: With the statement of no, or minimal, impairment of behaviour	icd10
F791	Unspecified mental retardation: Significant impairment of behaviour requiring attention or treatment	icd10
F798	Unspecified mental retardation: Other impairments of behaviour	icd10
F799	Unspecified mental retardation: Without mention of impairment of behaviour	icd10
F80	Specific developmental disorders of speech and language	icd10
F800	Specific speech articulation disorder	icd10
F801	Expressive language disorder	icd10
F802	Receptive language disorder	icd10
F803	Acquired aphasia with epilepsy [Landau-Kleffner]	icd10
F808	Other developmental disorders of speech and language	icd10
F809	Developmental disorder of speech and language, unspecified	icd10
F81	Specific developmental disorders of scholastic skills	icd10
F810	Specific reading disorder	icd10
F811	Specific spelling disorder	icd10
F812	Specific disorder of arithmetical skills	icd10
F813	Mixed disorder of scholastic skills	icd10
F818	Other developmental disorders of scholastic skills	icd10
F819	Developmental disorder of scholastic skills, unspecified	icd10
F82	Specific developmental disorder of motor function	icd10
F83	Mixed specific developmental disorders	icd10
F84	Pervasive developmental disorders	icd10
F840	Childhood autism	icd10
F841	Atypical autism	icd10
F842	Rett syndrome	icd10
F843	Other childhood disintegrative disorder	icd10
F844	Overactive disorder associated with mental retardation and stereotyped movements	icd10
F845	Asperger syndrome	icd10
F848	Other pervasive developmental disorders	icd10
F849	Pervasive developmental disorder, unspecified	icd10
F88	Other disorders of psychological development	icd10
F89	Unspecified disorder of psychological development	icd10
F90	Hyperkinetic disorders	icd10
F900	Disturbance of activity and attention	icd10
F901	Hyperkinetic conduct disorder	icd10
F908	Other hyperkinetic disorders	icd10
F909	Hyperkinetic disorder, unspecified	icd10
F91	Conduct disorders	icd10
F910	Conduct disorder confined to the family context	icd10
F911	Unsocialized conduct disorder	icd10
F912	Socialized conduct disorder	icd10
F913	Oppositional defiant disorder	icd10
F918	Other conduct disorders	icd10
F919	Conduct disorder, unspecified	icd10
F92	Mixed disorders of conduct and emotions	icd10
F920	Depressive conduct disorder	icd10
F928	Other mixed disorders of conduct and emotions	icd10
F929	Mixed disorder of conduct and emotions, unspecified	icd10
F93	Emotional disorders with onset specific to childhood	icd10
F930	Separation anxiety disorder of childhood	icd10
F931	Phobic anxiety disorder of childhood	icd10
F932	Social anxiety disorder of childhood	icd10
F933	Sibling rivalry disorder	icd10
F938	Other childhood emotional disorders	icd10
F939	Childhood emotional disorder, unspecified	icd10
F94	Disorders of social functioning with onset specific to childhood and adolescence	icd10
F940	Elective mutism	icd10
F941	Reactive attachment disorder of childhood	icd10
F942	Disinhibited attachment disorder of childhood	icd10
F948	Other childhood disorders of social functioning	icd10
F949	Childhood disorder of social functioning, unspecified	icd10
F95	Tic disorders	icd10
F950	Transient tic disorder	icd10
F951	Chronic motor or vocal tic disorder	icd10
F952	Combined vocal and multiple motor tic disorder [de la Tourette]	icd10
F958	Other tic disorders	icd10
F959	Tic disorder, unspecified	icd10
F98	Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence	icd10
F980	Nonorganic enuresis	icd10
F981	Nonorganic encopresis	icd10
F982	Feeding disorder of infancy and childhood	icd10
F983	Pica of infancy and childhood	icd10
F984	Stereotyped movement disorders	icd10
F985	Stuttering [stammering]	icd10
F986	Cluttering	icd10
F988	Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence	icd10
F989	Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence	icd10
F99	Mental disorder, not otherwise specified	icd10
G00	Bacterial meningitis, not elsewhere classified	icd10
G000	Haemophilus meningitis	icd10
G001	Pneumococcal meningitis	icd10
G002	Streptococcal meningitis	icd10
G003	Staphylococcal meningitis	icd10
G008	Other bacterial meningitis	icd10
G009	Bacterial meningitis, unspecified	icd10
G01	Meningitis in bacterial diseases classified elsewhere	icd10
G02	Meningitis in other infectious and parasitic diseases classified elsewhere	icd10
G020	Meningitis in viral diseases classified elsewhere	icd10
G021	Meningitis in mycoses	icd10
G028	Meningitis in other specified infectious and parasitic diseases classified elsewhere	icd10
G03	Meningitis due to other and unspecified causes	icd10
G030	Nonpyogenic meningitis	icd10
G031	Chronic meningitis	icd10
G032	Benign recurrent meningitis [Mollaret]	icd10
G038	Meningitis due to other specified causes	icd10
G039	Meningitis, unspecified	icd10
G04	Encephalitis, myelitis and encephalomyelitis	icd10
G040	Acute disseminated encephalitis	icd10
G041	Human T-cell lymphotropic virus associated myelopathy	icd10
G042	Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified	icd10
G048	Other encephalitis, myelitis and encephalomyelitis	icd10
G049	Encephalitis, myelitis and encephalomyelitis, unspecified	icd10
G05	Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere	icd10
G050	Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere	icd10
G051	Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere	icd10
G052	Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere	icd10
G058	Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere	icd10
G06	Intracranial and intraspinal abscess and granuloma	icd10
G060	Intracranial abscess and granuloma	icd10
G061	Intraspinal abscess and granuloma	icd10
G062	Extradural and subdural abscess, unspecified	icd10
G07	Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere	icd10
G08	Intracranial and intraspinal phlebitis and thrombophlebitis	icd10
G09	Sequelae of inflammatory diseases of central nervous system	icd10
G10	Huntington disease	icd10
G11	Hereditary ataxia	icd10
G110	Congenital nonprogressive ataxia	icd10
G111	Early-onset cerebellar ataxia	icd10
G112	Late-onset cerebellar ataxia	icd10
G113	Cerebellar ataxia with defective DNA repair	icd10
G114	Hereditary spastic paraplegia	icd10
G118	Other hereditary ataxias	icd10
G119	Hereditary ataxia, unspecified	icd10
G12	Spinal muscular atrophy and related syndromes	icd10
G120	Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]	icd10
G121	Other inherited spinal muscular atrophy	icd10
G122	Motor neuron disease	icd10
G128	Other spinal muscular atrophies and related syndromes	icd10
G129	Spinal muscular atrophy, unspecified	icd10
G13	Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere	icd10
G130	Paraneoplastic neuromyopathy and neuropathy	icd10
G131	Other systemic atrophy primarily affecting central nervous system in neoplastic disease	icd10
G132	Systemic atrophy primarily affecting central nervous system in myxoedema	icd10
G138	Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere	icd10
G14	Postpolio syndrome	icd10
G20	Parkinson disease	icd10
G21	Secondary parkinsonism	icd10
G210	Malignant neuroleptic syndrome	icd10
G211	Other drug-induced secondary parkinsonism	icd10
G212	Secondary parkinsonism due to other external agents	icd10
G213	Postencephalitic parkinsonism	icd10
G214	Vascular parkinsonism	icd10
G218	Other secondary parkinsonism	icd10
G219	Secondary parkinsonism, unspecified	icd10
G22	Parkinsonism in diseases classified elsewhere	icd10
G23	Other degenerative diseases of basal ganglia	icd10
G230	Hallervorden-Spatz disease	icd10
G231	Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]	icd10
G232	Multiple system atrophy, parkinsonian type [MSA-P]	icd10
G233	Multiple system atrophy, cerebellar type [MSA-C]	icd10
G238	Other specified degenerative diseases of basal ganglia	icd10
G239	Degenerative disease of basal ganglia, unspecified	icd10
G24	Dystonia	icd10
G240	Drug-induced dystonia	icd10
G241	Idiopathic familial dystonia	icd10
G242	Idiopathic nonfamilial dystonia	icd10
G243	Spasmodic torticollis	icd10
G244	Idiopathic orofacial dystonia	icd10
G245	Blepharospasm	icd10
G248	Other dystonia	icd10
G249	Dystonia, unspecified	icd10
G25	Other extrapyramidal and movement disorders	icd10
G250	Essential tremor	icd10
G251	Drug-induced tremor	icd10
G252	Other specified forms of tremor	icd10
G253	Myoclonus	icd10
G254	Drug-induced chorea	icd10
G255	Other chorea	icd10
G256	Drug-induced tics and other tics of organic origin	icd10
G258	Other specified extrapyramidal and movement disorders	icd10
G259	Extrapyramidal and movement disorder, unspecified	icd10
G26	Extrapyramidal and movement disorders in diseases classified elsewhere	icd10
G30	Alzheimer disease	icd10
G300	Alzheimer disease with early onset	icd10
G301	Alzheimer disease with late onset	icd10
G308	Other Alzheimer disease	icd10
G309	Alzheimer disease, unspecified	icd10
G31	Other degenerative diseases of nervous system, not elsewhere classified	icd10
G310	Circumscribed brain atrophy	icd10
G311	Senile degeneration of brain, not elsewhere classified	icd10
G312	Degeneration of nervous system due to alcohol	icd10
G318	Other specified degenerative diseases of nervous system	icd10
G319	Degenerative disease of nervous system, unspecified	icd10
G32	Other degenerative disorders of nervous system in diseases classified elsewhere	icd10
G320	Subacute combined degeneration of spinal cord in diseases classified elsewhere	icd10
G328	Other specified degenerative disorders of nervous system in diseases classified elsewhere	icd10
G35	Multiple sclerosis	icd10
G36	Other acute disseminated demyelination	icd10
G360	Neuromyelitis optica [Devic]	icd10
G361	Acute and subacute haemorrhagic leukoencephalitis [Hurst]	icd10
G368	Other specified acute disseminated demyelination	icd10
G369	Acute disseminated demyelination, unspecified	icd10
G37	Other demyelinating diseases of central nervous system	icd10
G370	Diffuse sclerosis	icd10
G371	Central demyelination of corpus callosum	icd10
G372	Central pontine myelinolysis	icd10
G373	Acute transverse myelitis in demyelinating disease of central nervous system	icd10
G374	Subacute necrotizing myelitis	icd10
G375	Concentric sclerosis [Baló]	icd10
G378	Other specified demyelinating diseases of central nervous system	icd10
G379	Demyelinating disease of central nervous system, unspecified	icd10
G40	Epilepsy	icd10
G400	Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset	icd10
G401	Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures	icd10
G402	Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures	icd10
G403	Generalized idiopathic epilepsy and epileptic syndromes	icd10
G404	Other generalized epilepsy and epileptic syndromes	icd10
G405	Special epileptic syndromes	icd10
G406	Grand mal seizures, unspecified (with or without petit mal)	icd10
G407	Petit mal, unspecified, without grand mal seizures	icd10
G408	Other epilepsy	icd10
G409	Epilepsy, unspecified	icd10
G41	Status epilepticus	icd10
G410	Grand mal status epilepticus	icd10
G411	Petit mal status epilepticus	icd10
G412	Complex partial status epilepticus	icd10
G418	Other status epilepticus	icd10
G419	Status epilepticus, unspecified	icd10
G43	Migraine	icd10
G430	Migraine without aura [common migraine]	icd10
G431	Migraine with aura [classical migraine]	icd10
G432	Status migrainosus	icd10
G433	Complicated migraine	icd10
G438	Other migraine	icd10
G439	Migraine, unspecified	icd10
G44	Other headache syndromes	icd10
G440	Cluster headache syndrome	icd10
G441	Vascular headache, not elsewhere classified	icd10
G442	Tension-type headache	icd10
G443	Chronic post-traumatic headache	icd10
G444	Drug-induced headache, not elsewhere classified	icd10
G448	Other specified headache syndromes	icd10
G45	Transient cerebral ischaemic attacks and related syndromes	icd10
G450	Vertebro-basilar artery syndrome	icd10
G451	Carotid artery syndrome (hemispheric)	icd10
G452	Multiple and bilateral precerebral artery syndromes	icd10
G453	Amaurosis fugax	icd10
G454	Transient global amnesia	icd10
G458	Other transient cerebral ischaemic attacks and related syndromes	icd10
G459	Transient cerebral ischaemic attack, unspecified	icd10
G46	Vascular syndromes of brain in cerebrovascular diseases	icd10
G460	Middle cerebral artery syndrome	icd10
G461	Anterior cerebral artery syndrome	icd10
G462	Posterior cerebral artery syndrome	icd10
G463	Brain stem stroke syndrome	icd10
G464	Cerebellar stroke syndrome	icd10
G465	Pure motor lacunar syndrome	icd10
G466	Pure sensory lacunar syndrome	icd10
G467	Other lacunar syndromes	icd10
G468	Other vascular syndromes of brain in cerebrovascular diseases	icd10
G47	Sleep disorders	icd10
G470	Disorders of initiating and maintaining sleep [insomnias]	icd10
G471	Disorders of excessive somnolence [hypersomnias]	icd10
